operator,tenure_type,tenure_no,field,reservoir,basin,period,metric,value
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2005,No. of wells producing petroleum,NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2005,Total gas produced (Mm3),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2005,Gas flared or vented (Mm3),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2005,Gas used in production (Mm3),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2005,Water (ML),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2005,No. of wells producing petroleum,NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2006,Total gas produced (Mm3),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2006,Gas flared or vented (Mm3),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2006,Gas used in production (Mm3),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2006,Water (ML),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2006,No. of wells producing petroleum,NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2006,Total gas produced (Mm3),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2006,Gas flared or vented (Mm3),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2006,Gas used in production (Mm3),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2006,Water (ML),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2006,No. of wells producing petroleum,NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2007,Total gas produced (Mm3),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2007,Gas flared or vented (Mm3),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2007,Gas used in production (Mm3),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2007,Water (ML),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2007,No. of wells producing petroleum,NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2007,Total gas produced (Mm3),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2007,Gas flared or vented (Mm3),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2007,Gas used in production (Mm3),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2007,Water (ML),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2007,No. of wells producing petroleum,NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2008,Total gas produced (Mm3),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2008,Gas flared or vented (Mm3),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2008,Gas used in production (Mm3),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2008,Water (ML),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2008,No. of wells producing petroleum,NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2008,Total gas produced (Mm3),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2008,Gas flared or vented (Mm3),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2008,Gas used in production (Mm3),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2008,Water (ML),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2008,No. of wells producing petroleum,NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2009,Total gas produced (Mm3),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2009,Gas flared or vented (Mm3),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2009,Gas used in production (Mm3),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2009,Water (ML),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2009,No. of wells producing petroleum,NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2009,Total gas produced (Mm3),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2009,Gas flared or vented (Mm3),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2009,Gas used in production (Mm3),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2009,Water (ML),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2009,No. of wells producing petroleum,NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2010,Total gas produced (Mm3),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2010,Gas flared or vented (Mm3),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2010,Gas used in production (Mm3),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2010,Water (ML),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2010,No. of wells producing petroleum,NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2010,Total gas produced (Mm3),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2010,Gas flared or vented (Mm3),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2010,Gas used in production (Mm3),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2010,Water (ML),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2010,No. of wells producing petroleum,NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2011,Total gas produced (Mm3),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2011,Gas flared or vented (Mm3),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2011,Gas used in production (Mm3),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2011,Water (ML),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2011,No. of wells producing petroleum,NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2011,Total gas produced (Mm3),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2011,Gas flared or vented (Mm3),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2011,Gas used in production (Mm3),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2011,Water (ML),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2011,No. of wells producing petroleum,NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/06/2012,Total gas produced (Mm3),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/06/2012,Gas flared or vented (Mm3),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/06/2012,Gas used in production (Mm3),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/06/2012,Water (ML),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/06/2012,No. of wells producing petroleum,NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2012,Total gas produced (Mm3),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2012,Gas flared or vented (Mm3),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2012,Gas used in production (Mm3),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2012,Water (ML),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2012,No. of wells producing petroleum,NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/06/2013,Total gas produced (Mm3),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/06/2013,Gas flared or vented (Mm3),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/06/2013,Gas used in production (Mm3),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/06/2013,Water (ML),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/06/2013,No. of wells producing petroleum,NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2013,Total gas produced (Mm3),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2013,Gas flared or vented (Mm3),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2013,Gas used in production (Mm3),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2013,Water (ML),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2013,No. of wells producing petroleum,NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/06/2014,Total gas produced (Mm3),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/06/2014,Gas flared or vented (Mm3),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/06/2014,Gas used in production (Mm3),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/06/2014,Water (ML),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/06/2014,No. of wells producing petroleum,NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2014,Total gas produced (Mm3),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2014,Gas flared or vented (Mm3),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2014,Gas used in production (Mm3),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2014,Water (ML),NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2014,No. of wells producing petroleum,NA
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/06/2015,Total gas produced (Mm3),1.11
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/06/2015,Gas flared or vented (Mm3),1.11
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/06/2015,Gas used in production (Mm3),0
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/06/2015,Water (ML),7.5734
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/06/2015,No. of wells producing petroleum,4
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2015,Total gas produced (Mm3),1.32
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2015,Gas flared or vented (Mm3),0
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2015,Gas used in production (Mm3),0
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2015,Water (ML),7.7447
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2015,No. of wells producing petroleum,4
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/06/2016,Total gas produced (Mm3),1.17
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/06/2016,Gas flared or vented (Mm3),1.17
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/06/2016,Gas used in production (Mm3),0
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/06/2016,Water (ML),9.0011
Santos Ltd,PL,440,Arcadia (Arcadia),Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/06/2016,No. of wells producing petroleum,4
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2005,Total gas produced (Mm3),1.86
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2005,Gas flared or vented (Mm3),1.86
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2005,Gas used in production (Mm3),0
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2005,Water (ML),130.5383
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2005,No. of wells producing petroleum,5
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2005,Total gas produced (Mm3),1.21
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2005,Gas flared or vented (Mm3),0
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2005,Gas used in production (Mm3),0
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2005,Water (ML),94.285
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2005,No. of wells producing petroleum,7
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2006,Total gas produced (Mm3),0.97
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2006,Gas flared or vented (Mm3),0.05
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2006,Gas used in production (Mm3),0
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2006,Water (ML),69.5357
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2006,No. of wells producing petroleum,5
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2006,Total gas produced (Mm3),0.18
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2006,Gas flared or vented (Mm3),0.01
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2006,Gas used in production (Mm3),NA
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2006,Water (ML),49.2159
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2006,No. of wells producing petroleum,5
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2007,Total gas produced (Mm3),0.68
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2007,Gas flared or vented (Mm3),0.03
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2007,Gas used in production (Mm3),0
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2007,Water (ML),71.6958
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2007,No. of wells producing petroleum,5
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2007,Total gas produced (Mm3),0.22
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2007,Gas flared or vented (Mm3),NA
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2007,Gas used in production (Mm3),NA
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2007,Water (ML),60.2796
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2007,No. of wells producing petroleum,NA
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2008,Total gas produced (Mm3),0.31
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2008,Gas flared or vented (Mm3),NA
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2008,Gas used in production (Mm3),NA
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2008,Water (ML),66.5547
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2008,No. of wells producing petroleum,5
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2008,Total gas produced (Mm3),0.29
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2008,Gas flared or vented (Mm3),NA
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2008,Gas used in production (Mm3),NA
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2008,Water (ML),86.5108
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2008,No. of wells producing petroleum,5
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2009,Total gas produced (Mm3),0.29
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2009,Gas flared or vented (Mm3),0
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2009,Gas used in production (Mm3),0
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2009,Water (ML),93.2204
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2009,No. of wells producing petroleum,9
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2009,Total gas produced (Mm3),0.07
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2009,Gas flared or vented (Mm3),0
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2009,Gas used in production (Mm3),0
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2009,Water (ML),23.9775
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2009,No. of wells producing petroleum,2
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2010,Total gas produced (Mm3),0.3
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2010,Gas flared or vented (Mm3),0
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2010,Gas used in production (Mm3),0
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2010,Water (ML),23.9775
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2010,No. of wells producing petroleum,3
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2010,Total gas produced (Mm3),0.66
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2010,Gas flared or vented (Mm3),0
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2010,Gas used in production (Mm3),0
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2010,Water (ML),60.9108
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2010,No. of wells producing petroleum,4
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2011,Total gas produced (Mm3),1.06
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2011,Gas flared or vented (Mm3),0
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2011,Gas used in production (Mm3),0
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2011,Water (ML),102.307
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/6/2011,No. of wells producing petroleum,4
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2011,Total gas produced (Mm3),1.11
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2011,Gas flared or vented (Mm3),0
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2011,Gas used in production (Mm3),0
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2011,Water (ML),113.4168
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2011,No. of wells producing petroleum,4
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/06/2012,Total gas produced (Mm3),0.89
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/06/2012,Gas flared or vented (Mm3),0
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/06/2012,Gas used in production (Mm3),0
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/06/2012,Water (ML),97.6292
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/06/2012,No. of wells producing petroleum,4
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2012,Total gas produced (Mm3),0.05
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2012,Gas flared or vented (Mm3),0
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2012,Gas used in production (Mm3),0
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2012,Water (ML),38.3163
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 31/12/2012,No. of wells producing petroleum,3
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/06/2013,Total gas produced (Mm3),0
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/06/2013,Gas flared or vented (Mm3),0
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/06/2013,Gas used in production (Mm3),0
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/06/2013,Water (ML),0
Santos Ltd,PL,90,Fairview,Bandanna Coal Seams,Bowen,Production for 6-month period ending 30/06/2013,No. of wells producing petroleum,0
