operator,tenure_type,tenure_no,field,reservoir,basin,period,metric,value
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2009,Water (ML),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2009,No. of wells producing petroleum,NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2009,Total gas produced (Mm3),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2009,Gas flared or vented (Mm3),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2009,Gas used in production (Mm3),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2009,Water (ML),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2009,No. of wells producing petroleum,NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2010,Total gas produced (Mm3),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2010,Gas flared or vented (Mm3),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2010,Gas used in production (Mm3),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2010,Water (ML),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2010,No. of wells producing petroleum,NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2010,Total gas produced (Mm3),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2010,Gas flared or vented (Mm3),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2010,Gas used in production (Mm3),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2010,Water (ML),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2010,No. of wells producing petroleum,NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2011,Total gas produced (Mm3),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2011,Gas flared or vented (Mm3),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2011,Gas used in production (Mm3),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2011,Water (ML),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2011,No. of wells producing petroleum,NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2011,Total gas produced (Mm3),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2011,Gas flared or vented (Mm3),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2011,Gas used in production (Mm3),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2011,Water (ML),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2011,No. of wells producing petroleum,NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2012,Total gas produced (Mm3),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2012,Gas flared or vented (Mm3),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2012,Gas used in production (Mm3),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2012,Water (ML),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2012,No. of wells producing petroleum,NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2012,Total gas produced (Mm3),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2012,Gas flared or vented (Mm3),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2012,Gas used in production (Mm3),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2012,Water (ML),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2012,No. of wells producing petroleum,NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2013,Total gas produced (Mm3),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2013,Gas flared or vented (Mm3),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2013,Gas used in production (Mm3),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2013,Water (ML),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2013,No. of wells producing petroleum,NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2013,Total gas produced (Mm3),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2013,Gas flared or vented (Mm3),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2013,Gas used in production (Mm3),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2013,Water (ML),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2013,No. of wells producing petroleum,NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2014,Total gas produced (Mm3),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2014,Gas flared or vented (Mm3),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2014,Gas used in production (Mm3),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2014,Water (ML),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2014,No. of wells producing petroleum,NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2014,Total gas produced (Mm3),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2014,Gas flared or vented (Mm3),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2014,Gas used in production (Mm3),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2014,Water (ML),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2014,No. of wells producing petroleum,NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2015,Total gas produced (Mm3),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2015,Gas flared or vented (Mm3),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2015,Gas used in production (Mm3),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2015,Water (ML),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2015,No. of wells producing petroleum,NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2015,Total gas produced (Mm3),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2015,Gas flared or vented (Mm3),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2015,Gas used in production (Mm3),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2015,Water (ML),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2015,No. of wells producing petroleum,NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2016,Total gas produced (Mm3),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2016,Gas flared or vented (Mm3),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2016,Gas used in production (Mm3),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2016,Water (ML),NA
Anglo Coal*,ML,various,Dawson,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2016,No. of wells producing petroleum,NA
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2005,Total gas produced (Mm3),39.085
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2005,Gas flared or vented (Mm3),2.178
Anglo Coal*,PL,94,Dawson Valley,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2005,Gas used in production (Mm3),4.506
